prime,word_index,kernel_length,full_scalar_identity,full_delta_match,strict_visible_x_power,strict_block_length,has_proper_non_scalar_precursor,has_any_prefix_power_hit,min_proper_prefix_power_hit,min_any_prefix_power_hit,num_proper_prefix_power_hits,num_prefix_power_hits,factor_period_length,source_class,sources,kernel_factor_ids
3,1,24,True,False,True,8,True,True,8,8,3,4,8,kernel_db,burau-experiments/src/kernel_db.json,1 4 2 13 20 13 10 13 1 4 2 13 20 13 10 13 1 4 2 13 20 13 10 13
3,2,24,False,True,False,,False,False,,,0,0,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:133|braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl:117,1 4 13 11 13 10 13 4 13 7 11 22 13 7 10 13 8 13 20 13 10 13 6 6
3,3,24,True,False,True,8,True,True,8,8,2,3,8,kernel_db,burau-experiments/src/kernel_db.json,1 4 13 20 13 10 2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10 2 13
3,4,24,True,False,False,,False,True,,24,0,1,24,kernel_db,burau-experiments/src/kernel_db.json,2 2 13 4 13 20 13 10 16 13 8 13 21 21 11 13 10 13 4 13 7 11 13 10
3,5,24,True,False,False,,False,True,,24,0,1,24,kernel_db,burau-experiments/src/kernel_db.json,2 2 13 8 13 11 13 10 16 13 4 13 21 21 20 13 10 13 8 13 7 20 13 10
3,6,24,True,False,False,,True,True,21,21,1,2,24,kernel_db,burau-experiments/src/kernel_db.json,2 2 13 11 13 7 10 13 4 13 11 13 21 21 10 13 8 16 13 20 13 10 13 4
3,7,24,True,False,False,,True,True,21,21,1,2,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:130|braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl:114|burau-experiments/src/kernel_db.json,2 2 13 20 13 7 10 13 8 13 20 13 21 21 10 13 4 16 13 11 13 10 13 8
3,8,24,True,False,True,8,True,True,8,8,2,3,8,kernel_db,burau-experiments/src/kernel_db.json,2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10
3,9,24,True,False,False,,False,True,,24,0,1,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:96|braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl:80|burau-experiments/src/kernel_db.json,2 13 4 13 20 13 10 16 13 8 13 21 21 11 13 10 13 4 13 7 11 13 10 2
3,10,24,True,False,True,8,True,True,8,8,2,3,8,kernel_db,burau-experiments/src/kernel_db.json,2 13 6 8 13 11 13 10 2 13 6 8 13 11 13 10 2 13 6 8 13 11 13 10
3,11,24,True,False,False,,False,True,,24,0,1,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:60|braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl:44|burau-experiments/src/kernel_db.json,2 13 8 13 11 13 10 16 13 4 13 21 21 20 13 10 13 8 13 7 20 13 10 2
3,12,24,True,False,False,,False,True,,24,0,1,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:75|braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl:59|burau-experiments/src/kernel_db.json,2 13 11 13 7 10 13 4 13 11 13 21 21 10 13 8 16 13 20 13 10 13 4 2
3,13,24,True,False,True,8,True,True,8,8,2,3,8,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:55|braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl:39|burau-experiments/src/kernel_db.json,2 13 11 13 10 13 6 8 2 13 11 13 10 13 6 8 2 13 11 13 10 13 6 8
3,14,24,True,False,False,,False,True,,24,0,1,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:53|braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl:37|burau-experiments/src/kernel_db.json,2 13 11 13 10 13 8 16 13 7 20 13 21 10 13 8 13 20 13 7 10 16 13 4
3,15,24,True,False,False,,True,True,21,21,1,2,24,kernel_db,burau-experiments/src/kernel_db.json,2 13 11 22 13 10 13 8 13 10 13 11 13 11 16 3 4 13 7 20 13 10 13 4
3,16,24,True,False,False,,False,True,,24,0,1,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:45|braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl:29|burau-experiments/src/kernel_db.json,2 13 20 13 7 10 13 8 13 20 13 21 21 10 13 4 16 13 11 13 10 13 8 2
3,17,24,True,False,True,8,True,True,8,8,2,3,8,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:100|braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl:84|burau-experiments/src/kernel_db.json,2 13 20 13 10 13 1 4 2 13 20 13 10 13 1 4 2 13 20 13 10 13 1 4
3,18,24,True,False,False,,False,True,,24,0,1,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:54|braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl:38|burau-experiments/src/kernel_db.json,2 13 20 13 10 13 4 16 13 7 11 13 21 10 13 4 13 11 13 7 10 16 13 8
3,19,24,True,False,False,,True,True,21,21,1,2,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:78|braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl:62|burau-experiments/src/kernel_db.json,2 13 20 17 13 10 13 4 13 10 13 20 13 20 16 12 8 13 7 11 13 10 13 8
3,20,24,True,False,False,,False,True,,24,0,1,24,kernel_db,burau-experiments/src/kernel_db.json,4 2 13 11 13 10 13 8 16 13 7 20 13 21 10 13 8 13 20 13 7 10 16 13
3,21,24,True,False,False,,False,True,,24,0,1,24,kernel_db,burau-experiments/src/kernel_db.json,4 2 13 11 22 13 10 13 8 13 10 13 11 13 11 16 3 4 13 7 20 13 10 13
3,22,24,True,False,True,8,True,True,8,8,3,4,8,kernel_db,burau-experiments/src/kernel_db.json,4 2 13 20 13 10 13 1 4 2 13 20 13 10 13 1 4 2 13 20 13 10 13 1
3,23,24,True,False,False,,False,True,,24,0,1,24,kernel_db,burau-experiments/src/kernel_db.json,4 13 7 20 13 10 13 4 2 13 11 22 13 10 13 8 13 10 13 11 13 11 16 3
3,24,24,False,True,False,,False,False,,,0,0,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:21|braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl:5,4 13 11 13 10 13 4 13 7 11 22 13 7 10 13 8 13 20 13 10 13 6 6 6
3,25,24,True,False,False,,False,True,,24,0,1,24,kernel_db,burau-experiments/src/kernel_db.json,4 13 11 19 7 4 16 13 8 13 20 13 21 10 13 6 8 13 11 13 10 13 10 13
3,26,24,True,False,True,8,True,True,8,8,2,3,8,kernel_db,burau-experiments/src/kernel_db.json,4 13 11 22 13 21 10 13 4 13 11 22 13 21 10 13 4 13 11 22 13 21 10 13
3,27,24,True,False,False,,False,True,,24,0,1,24,kernel_db,burau-experiments/src/kernel_db.json,4 13 20 13 10 2 13 8 16 13 7 11 13 10 13 4 13 21 11 13 7 10 16 13
3,28,24,True,False,False,,False,True,,24,0,1,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:127|braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl:111|burau-experiments/src/kernel_db.json,4 13 20 13 10 16 13 8 13 21 21 11 13 10 13 4 13 7 11 13 10 2 2 13
3,29,24,True,False,True,8,True,True,8,8,2,3,8,kernel_db,burau-experiments/src/kernel_db.json,4 13 21 20 17 13 10 13 4 13 21 20 17 13 10 13 4 13 21 20 17 13 10 13
3,30,24,True,False,False,,False,True,,24,0,1,24,kernel_db,burau-experiments/src/kernel_db.json,4 13 21 21 20 13 10 13 8 13 7 20 13 10 2 2 13 8 13 11 13 10 16 13
3,31,24,True,False,False,,False,True,,24,0,1,24,kernel_db,burau-experiments/src/kernel_db.json,4 16 13 7 20 13 10 13 8 13 21 20 13 7 10 16 13 8 13 11 13 10 2 13
3,32,24,True,False,False,,False,True,,24,0,1,24,kernel_db,burau-experiments/src/kernel_db.json,4 16 13 11 13 10 13 8 2 2 13 20 13 7 10 13 8 13 20 13 21 21 10 13
3,33,24,False,True,False,,False,False,,,0,0,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:104|braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl:88,4 16 13 11 13 10 13 8 13 11 22 17 22 13 10 13 4 13 20 13 10 16 13 6
3,34,24,True,False,False,,False,True,,24,0,1,24,kernel_db,burau-experiments/src/kernel_db.json,4 16 13 20 15 7 8 13 8 13 10 13 20 13 10 13 1 4 13 21 11 13 10 13
3,35,24,True,False,False,,False,True,,24,0,1,24,kernel_db,burau-experiments/src/kernel_db.json,5 13 10 13 4 13 10 13 11 13 10 13 6 8 13 21 20 13 10 13 8 16 13 10
3,36,24,True,False,False,,True,True,17,17,1,2,24,kernel_db,burau-experiments/src/kernel_db.json,5 13 10 16 13 8 13 20 13 21 10 13 6 8 13 11 13 10 13 10 13 4 13 10
3,37,24,True,False,False,,False,True,,24,0,1,24,kernel_db,burau-experiments/src/kernel_db.json,5 19 10 13 4 13 10 13 11 13 10 13 6 8 13 21 20 13 10 13 8 16 13 7
3,38,24,True,False,False,,False,True,,24,0,1,24,kernel_db,burau-experiments/src/kernel_db.json,5 19 10 16 13 8 13 20 13 21 10 13 6 8 13 11 13 10 13 10 13 4 13 7
3,39,24,True,False,True,8,True,True,8,8,3,4,8,kernel_db,burau-experiments/src/kernel_db.json,6 8 2 13 11 13 10 13 6 8 2 13 11 13 10 13 6 8 2 13 11 13 10 13
3,40,24,True,False,True,8,True,True,8,8,2,3,8,kernel_db,burau-experiments/src/kernel_db.json,6 8 13 11 13 10 2 13 6 8 13 11 13 10 2 13 6 8 13 11 13 10 2 13
3,41,24,True,False,False,,True,True,2,2,1,2,24,kernel_db,burau-experiments/src/kernel_db.json,7 4 2 13 20 13 10 13 1 4 2 13 20 13 10 13 1 4 2 13 20 13 10 3
3,42,24,False,True,False,,True,True,2,2,1,1,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:73|braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl:57,7 4 13 11 13 10 13 4 13 7 11 22 13 7 10 13 8 13 20 13 10 12 6 6
3,43,24,True,False,False,,True,True,2,2,1,2,24,kernel_db,burau-experiments/src/kernel_db.json,7 4 13 20 13 10 2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10 2 3
